emg1,emg2,emg3,label
0.982405,0.131965,0.151515,open
0.982405,0.200391,0.151515,open
0.982405,0.180841,0.166178,open
1.124145,1.930596,0.54741,open
1.314761,3.641251,0.948192,open
1.485826,4.496579,1.98436,close
1.55914,4.496579,2.00391,close
1.57869,4.496579,2.057674,close
1.603128,4.496579,2.346041,close
1.59824,4.501466,2.297165,close
1.622678,4.496579,2.316716,close
1.603128,4.496579,1.979472,close
1.612903,4.496579,2.228739,close
1.59824,4.496579,1.749756,close
1.608016,4.496579,2.130987,close
1.59824,4.496579,1.725318,close
1.617791,4.501466,1.827957,close
1.603128,4.496579,1.378299,close
1.593353,4.496579,1.480938,close
1.583578,4.301075,1.471163,close
1.520039,3.826979,1.314761,close
1.476051,3.460411,1.221896,close
1.412512,3.264907,1.226784,close
1.524927,4.496579,1.344086,close
1.564027,4.496579,1.285435,close
1.588465,4.491691,1.314761,close
1.622678,4.496579,1.686217,close
1.637341,4.496579,1.339198,close
1.656891,4.496579,1.212121,close
1.661779,4.491691,0.977517,close
1.656891,4.340176,1.158358,close
1.647116,4.051808,1.148583,close
1.671554,4.491691,1.099707,close
1.632454,4.032258,0.957967,close
1.583578,4.090909,1.031281,close
1.573803,3.86608,1.256109,close
1.520039,3.352884,0.977517,close
1.549365,3.597263,0.948192,close
1.583578,3.851417,1.006843,close
1.59824,3.939394,1.177908,close
1.490714,3.128055,0.840665,close
1.520039,3.460411,0.855327,close
1.495601,3.475073,1.109482,close
1.57869,4.496579,1.089932,close
1.57869,4.183773,0.957967,close
1.544477,3.739003,1.334311,close
1.549365,3.919844,1.671554,close
1.539589,3.919844,1.671554,close
1.529814,3.611926,1.495601,close
1.4565,3.172043,1.265885,close
1.43695,3.372434,1.314761,close
1.397849,3.304008,1.15347,close
1.392962,3.460411,1.119257,close
1.397849,3.230694,1.089932,close
1.461388,4.100684,0.909091,open
1.402737,3.29912,0.86999,open
1.358749,3.079179,0.777126,close
1.378299,3.250244,0.913978,close
1.4565,3.968719,1.001955,open
1.412512,3.186706,1.055718,open
1.412512,3.382209,0.752688,open
1.358749,2.883675,0.982405,open
1.378299,3.416422,1.129032,open
1.353861,2.903226,0.953079,open
1.43695,4.081134,0.923754,close
1.4565,3.611926,0.879765,close
1.529814,4.134897,0.733138,close
1.534702,4.13001,0.967742,close
1.446725,3.147605,1.187683,close
1.446725,3.333333,1.021505,close
1.505376,3.836755,1.251222,close
1.432063,2.8348,0.962854,close
1.515152,4.496579,1.021505,close
1.549365,4.491691,0.967742,close
1.55914,4.467253,1.006843,close
1.461388,3.40176,0.791789,close
1.480938,3.998045,0.772239,close
1.505376,4.491691,0.899316,close
1.534702,4.491691,0.938416,close
1.412512,3.201369,0.904203,close
1.451613,3.641251,0.967742,close
1.471163,3.875855,0.997067,close
1.485826,3.905181,1.050831,close
1.461388,3.343109,1.085044,close
1.471163,3.577713,0.99218,open
1.373412,2.673509,0.786901,open
1.300098,2.443793,0.757576,open
1.256109,2.091887,0.645161,open
1.285435,2.658847,0.772239,open
1.378299,3.377322,0.747801,open
1.485826,3.86608,1.270772,open
1.490714,3.831867,1.109482,open
1.388074,2.825024,1.026393,close
1.43695,3.528837,0.865103,close
1.490714,4.00782,0.752688,close
1.471163,3.460411,0.752688,close
1.534702,4.491691,1.006843,close
1.480938,3.377322,0.948192,close
1.4565,3.460411,0.899316,close
1.471163,3.5435,1.065494,close
1.568915,4.389052,1.031281,close
1.529814,4.217986,0.879765,close
1.422287,2.99609,0.703812,close
1.397849,3.000978,0.957967,close
1.407625,3.528837,1.041056,open
1.407625,3.695015,0.786901,open
1.348974,3.010753,1.031281,close
1.466276,4.491691,0.899316,close
1.495601,4.491691,0.860215,close
1.427175,3.509286,1.13392,close
1.4174,3.714565,0.948192,close
1.378299,3.284457,0.840665,open
1.344086,3.108504,0.694037,open
1.304985,2.908113,0.713587,open
1.304985,2.678397,0.821114,open
1.290323,2.741935,1.143695,open
